OpenTimeUtc,Open,High,Low,Close,TickVolume,Spread
2026-09-11T17:28:39.672+00:00,4367.07,4367.67,4366.91,4367.67,25,0.1
2026-09-11T17:28:45.966+00:00,4368.02,4368.12,4367.62,4367.79,25,0.12
2026-09-11T17:28:52.367+00:00,4367.78,4368.36,4366.44,4366.44,25,0.12
2026-09-11T17:28:58.655+00:00,4366.45,4367.1,4366.39,4367.1,25,0.11
2026-09-11T17:29:05.276+00:00,4366.98,4367.08,4366.06,4366.13,25,0.11
2026-09-11T17:29:11.562+00:00,4366.42,4366.93,4366.22,4366.49,25,0.13
2026-09-11T17:29:17.640+00:00,4366.9,4367.11,4366.48,4366.96,25,0.12
2026-09-11T17:29:23.950+00:00,4366.94,4367.07,4366.49,4366.65,25,0.12
2026-09-11T17:29:30.813+00:00,4366.89,4367.25,4366.53,4367.21,25,0.12
2026-09-11T17:29:36.967+00:00,4367.18,4367.45,4366.7,4366.72,25,0.11
2026-09-11T17:29:43.220+00:00,4366.71,4367.05,4366.71,4366.9,25,0.11
2026-09-11T17:29:49.935+00:00,4366.93,4367.5,4366.74,4366.87,25,0.08
2026-09-11T17:29:56.126+00:00,4366.83,4367.28,4366.7,4367.16,25,0.11
2026-09-11T17:30:03.319+00:00,4367.09,4367.26,4366.19,4366.46,25,0.08
2026-09-11T17:30:09.093+00:00,4366.54,4366.58,4365.49,4365.92,25,0.11
2026-09-11T17:30:15.028+00:00,4365.94,4366.19,4365.39,4366.19,25,0.08
2026-09-11T17:30:21.209+00:00,4366.58,4366.65,4365.6,4365.74,25,0.12
2026-09-11T17:30:28.041+00:00,4365.66,4366.57,4365.64,4366.1,25,0.1
2026-09-11T17:30:34.664+00:00,4366.05,4367.25,4366.05,4367.25,25,0.12
2026-09-11T17:30:41.606+00:00,4366.95,4367.84,4366.95,4367.84,25,0.1
2026-09-11T17:30:48.975+00:00,4367.85,4367.85,4367.11,4367.46,25,0.11
2026-09-11T17:30:56.331+00:00,4367.76,4367.84,4367.4,4367.4,25,0.1
2026-09-11T17:31:03.266+00:00,4367.33,4368.5,4367.33,4368.5,25,0.11
2026-09-11T17:31:10.189+00:00,4368.55,4368.55,4368.16,4368.17,25,0.11
2026-09-11T17:31:17.257+00:00,4368.2,4368.76,4368.19,4368.56,25,0.1
2026-09-11T17:31:24.504+00:00,4368.71,4369.23,4368.38,4369.09,25,0.12
2026-09-11T17:31:33.394+00:00,4369.01,4369.07,4368.35,4368.39,25,0.09
2026-09-11T17:31:40.404+00:00,4368.39,4370.08,4368.39,4370.08,25,0.11
2026-09-11T17:31:47.384+00:00,4370.07,4370.27,4369.51,4369.92,25,0.11
2026-09-11T17:31:54.466+00:00,4369.97,4370.34,4369.63,4369.63,25,0.09
2026-09-11T17:32:04.004+00:00,4369.69,4370.4,4369.69,4370.37,25,0.12
2026-09-11T17:32:12.140+00:00,4370.33,4370.55,4370.02,4370.05,25,0.11
2026-09-11T17:32:18.994+00:00,4370.11,4370.11,4369.91,4370.0,25,0.11
2026-09-11T17:32:28.089+00:00,4370.07,4370.47,4369.98,4369.99,25,0.11
2026-09-11T17:32:35.002+00:00,4370.37,4370.37,4369.98,4369.98,25,0.09
2026-09-11T17:32:44.010+00:00,4369.74,4369.84,4368.57,4368.57,25,0.09
2026-09-11T17:32:50.704+00:00,4368.58,4369.01,4368.06,4368.95,25,0.12
2026-09-11T17:32:59.493+00:00,4368.87,4369.29,4368.5,4369.29,25,0.11
2026-09-11T17:33:08.396+00:00,4368.99,4369.28,4368.76,4368.89,25,0.11
2026-09-11T17:33:16.273+00:00,4368.83,4368.83,4367.97,4368.58,25,0.1
2026-09-11T17:33:23.538+00:00,4368.61,4368.97,4368.46,4368.95,25,0.11
2026-09-11T17:33:31.740+00:00,4368.84,4368.95,4368.31,4368.69,25,0.11
2026-09-11T17:33:38.251+00:00,4368.67,4368.91,4368.37,4368.69,25,0.1
