OpenTimeUtc,Open,High,Low,Close,TickVolume,Spread
2026-09-11T17:28:39.674+00:00,153.694,153.696,153.693,153.693,25,0.001
2026-09-11T17:28:49.548+00:00,153.692,153.695,153.691,153.694,25,0.002
2026-09-11T17:28:56.618+00:00,153.696,153.697,153.69,153.692,25,0.003
2026-09-11T17:29:04.352+00:00,153.69,153.696,153.69,153.695,25,0.001
2026-09-11T17:29:17.245+00:00,153.694,153.7,153.694,153.699,25,0.001
2026-09-11T17:29:25.587+00:00,153.697,153.703,153.697,153.699,25,0.003
2026-09-11T17:29:34.226+00:00,153.701,153.704,153.699,153.704,25,0.003
2026-09-11T17:29:49.810+00:00,153.703,153.711,153.701,153.708,25,0.003
2026-09-11T17:29:59.973+00:00,153.711,153.711,153.699,153.703,25,0.001
2026-09-11T17:30:06.897+00:00,153.702,153.704,153.697,153.698,25,0.003
2026-09-11T17:30:15.767+00:00,153.699,153.703,153.694,153.699,25,0.001
2026-09-11T17:30:24.006+00:00,153.699,153.71,153.699,153.708,25,0.001
2026-09-11T17:30:31.215+00:00,153.702,153.708,153.701,153.704,25,0.002
2026-09-11T17:30:41.340+00:00,153.704,153.706,153.699,153.7,25,0.003
2026-09-11T17:30:51.556+00:00,153.701,153.701,153.694,153.695,25,0.003
2026-09-11T17:31:00.360+00:00,153.696,153.699,153.683,153.683,25,0.006
2026-09-11T17:31:10.209+00:00,153.681,153.688,153.681,153.685,25,0.003
2026-09-11T17:31:19.059+00:00,153.686,153.689,153.681,153.687,25,0.003
2026-09-11T17:31:27.901+00:00,153.688,153.689,153.686,153.688,25,0.003
2026-09-11T17:31:38.233+00:00,153.687,153.689,153.677,153.683,25,0.001
2026-09-11T17:31:45.750+00:00,153.683,153.684,153.678,153.683,25,0.003
2026-09-11T17:31:56.521+00:00,153.684,153.689,153.684,153.689,25,0.001
2026-09-11T17:32:04.487+00:00,153.688,153.689,153.683,153.686,25,0.003
2026-09-11T17:32:13.906+00:00,153.685,153.687,153.683,153.686,25,0.003
2026-09-11T17:32:24.007+00:00,153.685,153.688,153.685,153.686,25,0.003
2026-09-11T17:32:32.499+00:00,153.685,153.692,153.683,153.691,25,0.003
2026-09-11T17:32:45.449+00:00,153.69,153.69,153.687,153.687,25,0.003
2026-09-11T17:32:55.756+00:00,153.688,153.689,153.685,153.686,25,0.002
2026-09-11T17:33:08.574+00:00,153.688,153.695,153.687,153.69,25,0.003
2026-09-11T17:33:24.593+00:00,153.691,153.701,153.69,153.701,25,0.001
2026-09-11T17:33:35.772+00:00,153.702,153.704,153.698,153.7,25,0.003
2026-09-11T17:33:55.268+00:00,153.698,153.702,153.698,153.702,25,0.001
2026-09-11T17:34:13.888+00:00,153.701,153.702,153.697,153.699,25,0.003
2026-09-11T17:34:26.074+00:00,153.7,153.706,153.698,153.698,25,0.003
2026-09-11T17:34:42.243+00:00,153.698,153.7,153.698,153.699,25,0.003
2026-09-11T17:34:56.985+00:00,153.698,153.708,153.696,153.708,25,0.001
2026-09-11T17:35:07.762+00:00,153.706,153.71,153.704,153.704,25,0.003
2026-09-11T17:35:21.349+00:00,153.707,153.707,153.704,153.705,25,0.001
2026-09-11T17:35:32.349+00:00,153.704,153.708,153.703,153.705,25,0.001
2026-09-11T17:35:45.963+00:00,153.706,153.722,153.704,153.721,25,0.003
2026-09-11T17:35:54.625+00:00,153.722,153.722,153.71,153.71,25,0.003
2026-09-11T17:36:02.632+00:00,153.712,153.712,153.699,153.699,25,0.003
2026-09-11T17:36:10.068+00:00,153.7,153.705,153.7,153.704,25,0.003
