ts_utc,symbol_id,symbol,side,price,size,entry_id,update,msg_seq
2026-09-02T14:51:10.942+00:00,1,EURUSD,ask,1.15924,,,snapshot,3
2026-09-02T14:51:11.136+00:00,1,EURUSD,bid,1.15923,,,snapshot,3
2026-09-02T14:51:11.136+00:00,1,EURUSD,ask,1.15925,,,snapshot,3
2026-09-02T14:51:11.544+00:00,1,EURUSD,bid,1.15926,,,snapshot,3
2026-09-02T14:51:11.544+00:00,1,EURUSD,ask,1.15926,,,snapshot,3
2026-09-02T14:51:11.937+00:00,1,EURUSD,bid,1.15925,,,snapshot,3
2026-09-02T14:51:11.937+00:00,1,EURUSD,ask,1.15926,,,snapshot,3
2026-09-02T14:51:12.145+00:00,1,EURUSD,bid,1.15926,,,snapshot,3
2026-09-02T14:51:12.145+00:00,1,EURUSD,ask,1.15926,,,snapshot,3
2026-09-02T14:51:13.632+00:00,1,EURUSD,bid,1.15927,,,snapshot,3
2026-09-02T14:51:13.632+00:00,1,EURUSD,ask,1.15927,,,snapshot,3
2026-09-02T14:51:14.633+00:00,1,EURUSD,bid,1.15925,,,snapshot,3
2026-09-02T14:51:14.633+00:00,1,EURUSD,ask,1.15925,,,snapshot,3
2026-09-02T14:51:15.377+00:00,1,EURUSD,bid,1.15922,,,snapshot,3
2026-09-02T14:51:15.377+00:00,1,EURUSD,ask,1.15925,,,snapshot,3
2026-09-02T14:51:15.578+00:00,1,EURUSD,bid,1.15924,,,snapshot,3
2026-09-02T14:51:15.578+00:00,1,EURUSD,ask,1.15927,,,snapshot,3
2026-09-02T14:51:15.979+00:00,1,EURUSD,bid,1.15926,,,snapshot,3
2026-09-02T14:51:15.979+00:00,1,EURUSD,ask,1.15927,,,snapshot,3
2026-09-02T14:51:16.177+00:00,1,EURUSD,bid,1.15925,,,snapshot,3
2026-09-02T14:51:16.177+00:00,1,EURUSD,ask,1.15926,,,snapshot,3
2026-09-02T14:51:16.378+00:00,1,EURUSD,bid,1.15924,,,snapshot,3
2026-09-02T14:51:16.378+00:00,1,EURUSD,ask,1.15924,,,snapshot,3
2026-09-02T14:51:16.575+00:00,1,EURUSD,bid,1.15925,,,snapshot,3
2026-09-02T14:51:16.575+00:00,1,EURUSD,ask,1.15925,,,snapshot,3
2026-09-02T14:51:18.071+00:00,1,EURUSD,bid,1.15925,,,snapshot,3
2026-09-02T14:51:18.071+00:00,1,EURUSD,ask,1.15928,,,snapshot,3
2026-09-02T14:51:18.925+00:00,1,EURUSD,bid,1.15924,,,snapshot,3
2026-09-02T14:51:18.925+00:00,1,EURUSD,ask,1.15927,,,snapshot,3
2026-09-02T14:51:19.128+00:00,1,EURUSD,bid,1.15925,,,snapshot,4
2026-09-02T14:51:19.128+00:00,1,EURUSD,ask,1.15928,,,snapshot,4
2026-09-02T14:51:19.327+00:00,1,EURUSD,bid,1.15917,,,snapshot,4
2026-09-02T14:51:19.327+00:00,1,EURUSD,ask,1.15919,,,snapshot,4
