OpenTimeUtc,Open,High,Low,Close,TickVolume,Spread
2026-09-11T17:22:50.427+00:00,4367.34,4367.62,4366.78,4366.91,25,0.08
2026-09-11T17:22:58.448+00:00,4366.97,4366.97,4365.94,4365.95,25,0.08
2026-09-11T17:23:06.186+00:00,4365.88,4366.27,4365.7,4365.83,25,0.11
2026-09-11T17:23:14.009+00:00,4365.94,4366.36,4365.71,4365.8,25,0.1
2026-09-11T17:23:20.878+00:00,4366.07,4366.39,4365.74,4366.34,25,0.11
2026-09-11T17:23:28.296+00:00,4366.31,4367.66,4366.31,4367.23,25,0.11
2026-09-11T17:23:35.665+00:00,4367.25,4368.04,4367.04,4367.93,25,0.1
2026-09-11T17:23:43.515+00:00,4367.94,4368.49,4367.91,4368.19,25,0.1
2026-09-11T17:23:51.157+00:00,4368.78,4368.78,4368.11,4368.34,25,0.11
2026-09-11T17:23:58.614+00:00,4368.35,4368.85,4367.72,4368.42,25,0.11
2026-09-11T17:24:05.094+00:00,4368.46,4368.46,4367.86,4367.97,25,0.11
2026-09-11T17:24:13.528+00:00,4368.13,4368.65,4368.11,4368.26,25,0.1
2026-09-11T17:24:20.734+00:00,4368.26,4368.87,4368.19,4368.45,25,0.11
2026-09-11T17:24:27.637+00:00,4368.43,4368.91,4368.43,4368.91,25,0.08
2026-09-11T17:24:34.994+00:00,4369.07,4369.07,4368.55,4368.85,25,0.08
2026-09-11T17:24:41.526+00:00,4368.76,4369.32,4368.73,4369.06,25,0.08
2026-09-11T17:24:48.184+00:00,4368.86,4369.21,4368.63,4369.06,25,0.08
2026-09-11T17:24:56.036+00:00,4369.04,4369.07,4368.91,4368.97,15,0.09
