Close,reference_price,reference_regime,directional_distance,scale,normalized_measurement,signal
1.10484,1.10531,0.0,-0.00046999999999997044,1.10484,0.00042540096303534487,0.0
1.10417,1.1049010891840607,0.0,-0.0007310891840606182,0.0011600000000000499,0.6302492966039541,0.0
1.10352,1.1045531375565611,0.0,-0.0010331375565610923,0.0011550000000000171,0.8944913909619714,0.0
1.10353,1.1044543508333333,0.0,-0.0009243508333334205,0.0008900000000000574,1.0385964419475964,0.0
1.10357,1.1043737734065933,0.0,-0.0008037734065933222,0.0007825000000000193,1.027186462100067,0.0
1.10336,1.1041545919053162,0.0,-0.0007945919053162775,0.0006899999999999906,1.1515824714728817,0.0
1.10399,1.1041683090237404,0.0,-0.00017830902374038615,0.0007283333333333308,0.2448178815657484,0.0
1.10329,1.1041308484652768,0.0,-0.0008408484652766557,0.0008399999999999837,1.001010077710324,0.0
1.10266,1.1038911842234262,0.0,-0.0012311842234262738,0.0008349999999999747,1.4744721238638456,0.0
1.1033,1.1038648044996366,0.0,-0.0005648044996366952,0.0008444444444444255,0.668847433780312,0.0
1.1038,1.1038655594312092,0.0,-6.555943120933883e-05,0.0008359999999999923,0.07842037225997539,0.0
1.1029,1.1038573516157923,0.0,-0.0009573516157923567,0.0009054545454545426,1.0573160415377467,0.0
1.1024,1.1037960167764322,0.0,-0.0013960167764321962,0.0009158333333333379,1.5243131316820993,0.0
1.10169,1.1034230367577638,0.0,-0.0017330367577637062,0.0009253846153846143,1.8727745511993523,0.0
1.10079,1.1029390573570523,0.0,-0.0021490573570523974,0.0009635714285714288,2.230304151129248,0.0
1.10023,1.1025756814728522,0.0,-0.00234568147285219,0.0009342857142857129,2.510668243113969,0.0
1.09937,1.1020822911991661,0.0,-0.0027122911991661613,0.0009421428571428596,2.878853433534963,0.0
1.09839,1.1015408076722548,0.0,-0.0031508076722548406,0.0010299999999999912,3.059036575004726,0.0
1.09839,1.1014462154066984,0.0,-0.003056215406698426,0.0010271428571428614,2.9754531080513065,0.0
1.0974,1.1009847447615173,0.0,-0.0035847447615173778,0.0011007142857142962,3.256744105207191,0.0
1.09822,1.1008956239496825,0.0,-0.0026756239496825707,0.0011442857142857246,2.338248145789991,0.0
1.09846,1.100863260361729,0.0,-0.0024032603617289983,0.00106785714285716,2.2505448203481895,0.0
1.09833,1.1007810361993997,0.0,-0.002451036199399681,0.0010671428571428856,2.296821070387859,0.0
1.09792,1.1006350941953884,0.0,-0.002715094195388401,0.0010835714285714535,2.5056900946233847,0.0
1.09696,1.1004270591551302,0.0,-0.0034670591551302365,0.0011642857142857446,2.9778422191301868,0.0
1.09738,1.1003404857352639,0.0,-0.0029604857352638625,0.0010900000000000196,2.7160419589576232,0.0
1.09705,1.1002472454864072,0.0,-0.0031972454864070965,0.0010728571428571451,2.980122290925383,0.0
1.09648,1.0997820784063579,0.0,-0.003302078406357989,0.0010785714285714368,3.0615296482789067,0.0
1.09701,1.099734767835014,0.0,-0.0027247678350139637,0.0010621428571428687,2.565349676543045,0.0
1.09712,1.0997285436269546,0.0,-0.002608543626954507,0.001074285714285726,2.428165610196988,0.0
1.09681,1.099691828119941,0.0,-0.0028818281199409768,0.0010400000000000092,2.770988576866299,0.0
1.09634,1.0994442095894916,0.0,-0.0031042095894915356,0.0009692857142857202,3.2025743738305996,0.0
1.09618,1.0993087377444843,0.0,-0.003128737744484411,0.0009892857142857084,3.162622990814586,0.0
1.0954,1.0988098208498407,0.0,-0.003409820849840761,0.00097214285714285,3.507530631724541,0.0
1.09605,1.098692927884544,0.0,-0.0026429278845441218,0.0009107142857142726,2.9020384614602537,0.0
1.09684,1.0986079857440259,0.0,-0.0017679857440258129,0.000977142857142835,1.809342135698972,0.0
1.0964,1.0985419993967502,0.0,-0.002141999396750194,0.0009942857142856937,2.1543097381108716,0.0
1.09578,1.0985363115938098,0.0,-0.002756311593809846,0.0009735714285713991,2.8311344323799714,0.0
1.09525,1.0984358161653418,0.0,-0.0031858161653417483,0.0009457142857142482,3.3686877881258495,0.0
1.09452,1.0980749304729502,0.0,-0.0035549304729503017,0.000996428571428549,3.567672159233358,0.0
1.09464,1.0980564955983938,0.0,-0.003416495598393743,0.000993571428571419,3.438600889828387,0.0
1.09483,1.0979998423769817,0.0,-0.003169842376981702,0.0009728571428571245,3.258281444768331,0.0
1.09453,1.0978698877078057,0.0,-0.0033398877078056888,0.000957142857142831,3.4894349186030538,0.0
1.09542,1.0978577210897584,0.0,-0.002437721089758371,0.0009892857142856926,2.4641224011998517,0.0
1.09443,1.097771816863451,0.0,-0.0033418168634509193,0.0010449999999999785,3.1979108741157782,0.0
1.09424,1.0976710595511285,0.0,-0.0034310595511284347,0.0010514285714285604,3.2632359861276217,0.0
1.09506,1.097652966452778,0.0,-0.002592966452778178,0.00112642857142856,2.301935975833536,0.0
1.09473,1.0975598238853554,0.0,-0.0028298238853554647,0.0011121428571428474,2.544478766536728,0.0
1.09537,1.097532292637653,0.0,-0.002162292637652996,0.0011471428571428546,1.8849375421632635,0.0
